"SID"	"window"	"n"	"N"	"gene"	"k"	"pValue"	"qValue"
"11:102826722-102826779"	58	3	58	"MMP13"	3	4.546e-05	0.03669
"11:104973870-104973936"	67	11	67	"CARD17"	7	1.177e-12	1.356e-09
"11:107328651-107328767"	117	3	117	"CWF19L2"	3	0.01463	1
"11:107732252-107732340"	89	3	89	"SLC35F2"	3	0.003536	0.8298
"11:107798927-107799039"	113	3	113	"RAB39A"	3	0.01486	1
"11:123615158-123615282"	125	3	125	"ZNF202"	3	0.00342	0.8298
"11:123775145-123775240"	96	3	96	"OR8D4"	3	0.0003305	0.1935
"11:123808575-123808683"	109	3	109	"OR4D5"	3	0.0003446	0.1988
"11:123850736-123850832"	97	3	97	"OR10S1"	3	0.0007799	0.3397
"11:124191504-124191580"	77	3	77	"OR8D2"	3	0.0001491	0.1024
"11:124295902-124296046"	145	4	145	"OR8B4"	4	1.463e-05	0.01324
"11:124297607-124297657"	51	5	51	"OR8B4"	5	7.527e-09	8.159e-06
"11:124312910-124313001"	92	4	92	"OR8B8"	4	3.039e-05	0.02565
"11:124480276-124480398"	123	3	123	"PANX3"	3	0.001532	0.529
"11:125933164-125933273"	110	3	86	"CDON"	3	0.0001456	0.1002
"11:128761301-128761359"	59	10	59	"KCNJ5"	7	1.075e-13	1.246e-10
"11:131779195-131779291"	97	3	97	"NTM"	3	0.005203	0.9351
"11:133717129-133717179"	51	6	51	"SPATA19"	6	2.105e-11	2.395e-08
"11:134199484-134199534"	51	3	51	"GLB1L2"	3	4.378e-05	0.03551
"12:861575-861635"	61	4	61	"WNK1"	4	1.548e-05	0.01393
"12:1100091-1100141"	51	3	51	"ERC1"	3	1.552e-05	0.01395
"12:2114112-2114164"	53	3	53	"DCP1B"	3	0.0001928	0.1267
"12:3598973-3599046"	74	3	74	"PRMT8"	3	0.0001751	0.1178
"12:6799777-6799878"	102	4	102	"ZNF384"	3	0.0002635	0.1619
"12:10827459-10827521"	63	5	63	"STYK1"	5	1.809e-07	0.0001871
"12:11548830-11548931"	102	3	102	"PRB2"	2	0.03302	1
"12:13196465-13196549"	85	3	85	"KIAA1467"	3	0.001245	0.4665
"12:13349577-13349627"	51	3	51	"EMP1"	3	9.151e-05	0.06717
"12:20519923-20519977"	55	3	55	"PDE3A"	2	0.01593	1
"12:21488395-21488512"	118	3	118	"SLCO1A2"	3	0.0009505	0.3901
"12:25204075-25204125"	51	6	51	"LRMP"	6	3.143e-11	3.555e-08
"12:28126997-28127117"	121	5	121	"PTHLH"	5	1.252e-07	0.00013
"12:30851635-30851708"	74	6	74	"IPO8"	6	5.044e-08	5.326e-05
"12:34175074-34175166"	93	3	93	"ALG10"	2	0.02923	1
"12:38707913-38708007"	95	3	95	"ALG10B"	3	0.0009769	0.3976
"12:38710312-38710385"	74	3	68	"ALG10B"	3	0.0002034	0.1322
"12:42984718-42984819"	102	3	102	"PRICKLE1"	3	0.0001264	0.08861
"12:49365618-49365706"	89	4	89	"WNT10B"	4	7.377e-06	0.006875
"12:50794580-50794650"	71	3	71	"LARP4"	2	0.002784	0.747
"12:51817797-51817867"	71	3	71	"SLC4A8"	3	3.795e-05	0.03131
"12:52969164-52969264"	101	3	101	"KRT74"	3	0.0002978	0.1781
"12:53171485-53171566"	82	3	82	"KRT76"	2	0.003792	0.8393
"12:53626846-53626933"	88	4	88	"RARG"	4	4.128e-05	0.03368
"12:53660514-53660566"	53	3	53	"ESPL1"	3	0.0002426	0.1522
"12:53731838-53731919"	82	9	82	"SP7"	5	6.592e-08	6.928e-05
"12:53771567-53771623"	57	4	57	"SP1"	3	0.0001416	0.09785
"12:54717421-54717480"	60	5	60	"COPZ1"	3	5.024e-06	0.004758
"12:54940213-54940297"	85	3	85	"PDE1B"	3	0.0003239	0.1908
"12:55043129-55043179"	51	3	51	"DCD"	3	9.282e-05	0.06794
"12:55690511-55690614"	104	3	104	"OR6C6"	3	0.0001992	0.1299
"12:55713954-55714041"	88	3	88	"OR6C1"	3	0.0001766	0.1187
"12:55723171-55723260"	90	4	90	"OR6C3"	4	2.023e-05	0.0178
"12:56415051-56415101"	51	3	49	"IKZF4"	3	1.421e-06	0.001404
"12:56913591-56913643"	53	5	53	"RBMS2"	4	3.212e-07	0.0003289
"12:58029461-58029530"	70	3	70	"B4GALNT1"	2	0.07593	1
"12:68553593-68553680"	88	3	88	"IFNG"	3	0.001863	0.5943
"12:68555180-68555233"	54	3	54	"IFNG"	2	0.006832	0.9971
"12:68648233-68648339"	107	4	107	"IL22"	3	6.129e-05	0.04714
"12:75907276-75907375"	100	3	100	"KRR1"	2	0.009818	1
"12:76955071-76955167"	97	3	97	"OSBPL8"	3	0.0007591	0.3342
"12:78224925-78225018"	94	3	94	"NAV3"	3	3.014e-05	0.02547
"12:81110442-81110585"	144	3	144	"MYF5"	3	0.01901	1
"12:85672666-85672778"	113	3	113	"ALX1"	3	0.002241	0.666
"12:87233671-87233774"	104	3	104	"MGAT4C"	3	0.001763	0.5712
"12:92537873-92537961"	89	8	89	"C12orf79"	4	4.658e-06	0.004425
"12:100964973-100965080"	108	3	108	"GAS2L3"	3	0.00152	0.529
"12:100965820-100965918"	99	3	99	"GAS2L3"	3	0.0001633	0.1109
"12:101671686-101671790"	105	3	105	"UTP20"	3	0.002686	0.734
"12:101672011-101672063"	53	4	53	"UTP20"	4	1.127e-06	0.00112
"12:104848054-104848153"	100	3	100	"CHST11"	3	0.007766	1
"12:105480296-105480352"	57	4	57	"ALDH1L2"	3	3.089e-05	0.02598
"12:108908876-108909000"	125	3	125	"FICD"	3	0.002913	0.7582
"12:113910243-113910335"	93	3	93	"LHX5"	3	0.0004806	0.2518
"12:118454453-118454535"	83	3	62	"RFC5"	3	0.003553	0.8298
"12:121477326-121477414"	89	4	89	"OASL"	4	3.885e-06	0.00371
"12:121837728-121837825"	98	4	98	"RNF34"	4	2.449e-05	0.02123
"12:122149824-122149875"	52	4	52	"TMEM120B"	4	2.395e-05	0.02081
"12:124086058-124086110"	53	5	53	"DDX55"	3	1.745e-05	0.01556
"12:128749514-128749621"	108	4	108	"TMEM132C"	4	0.0004158	0.2276
"12:129337784-129337857"	74	3	74	"GLT1D1"	2	0.008007	1
"13:21140756-21140900"	145	3	145	"IFT88"	3	0.02506	1
"13:21275131-21275227"	97	4	97	"IL17D"	4	1.744e-05	0.01556
"13:25945439-25945545"	107	4	107	"ATP8A2"	4	8.921e-06	0.008279
"13:28365339-28365433"	95	3	95	"GSX1"	2	0.08765	1
"13:36874547-36874604"	58	4	58	"CCDC169-SOHLH2"	3	9.184e-05	0.06732
"13:41635052-41635108"	57	3	57	"WBP4"	3	7.136e-05	0.05388
"13:49821947-49822044"	98	3	98	"CDADC1"	3	0.01138	1
"13:53424832-53424928"	97	3	97	"PCDH8"	3	0.01021	1
"13:76113927-76113987"	61	3	61	"COMMD6"	2	0.006167	0.9682
"13:76114451-76114504"	54	3	54	"COMMD6"	3	8.655e-05	0.06405
"13:76121257-76121370"	114	3	114	"UCHL3"	3	0.0007797	0.3397
"13:78495526-78495609"	84	3	84	"EDNRB"	3	0.001699	0.559
"13:79178046-79178123"	78	3	78	"POU4F1"	3	0.001166	0.4524
"13:79981601-79981704"	104	3	104	"RBM26"	2	0.1007	1
"13:108519263-108519368"	106	3	106	"FAM155A"	3	0.0005115	0.2604
"13:108520939-108521060"	122	4	122	"FAM155A"	4	0.001102	0.4353
"13:111971176-111971291"	116	3	116	"TEX29"	3	0.0004534	0.2426
"13:113622405-113622457"	53	6	53	"MCF2L"	3	8.78e-05	0.06462
"13:114018915-114018983"	69	3	69	"GRTP1"	3	0.00317	0.7957
"13:114320542-114320628"	87	3	87	"GRK1"	3	0.006394	0.9847
"14:19376170-19376220"	51	3	51	"OR11H12"	3	1.84e-05	0.01632
"14:19376517-19376618"	102	3	102	"OR11H12"	3	0.002039	0.626
"14:19376655-19376714"	60	3	60	"OR11H12"	3	0.0005032	0.2572
"14:20213091-20213189"	99	3	99	"OR4Q3"	3	0.0005493	0.2741
"14:20293721-20293844"	124	3	124	"OR4N2"	3	0.0003424	0.1982
"14:20295158-20295259"	102	3	102	"OR4N2"	2	0.02058	1
"14:20341724-20341828"	105	3	105	"OR4K2"	3	5.82e-05	0.04551
"14:20385994-20386081"	88	3	88	"OR4K5"	3	0.000601	0.2885
"14:20401037-20401102"	66	4	66	"OR4K1"	3	6.518e-05	0.0496
"14:20443331-20443410"	80	3	80	"OR4K15"	2	0.00602	0.962
"14:20709460-20709529"	70	3	70	"OR11H4"	3	0.002522	0.7087
"14:23297490-23297592"	103	3	103	"MRPL52"	2	0.0089	1
"14:23401409-23401467"	59	4	59	"PRMT5"	4	9.582e-08	0.0001001
"14:24588362-24588415"	54	4	54	"RP11-468E2.6"	2	0.001136	0.4457
"14:24836032-24836127"	96	3	85	"NFATC4"	3	0.0002061	0.1333
"14:34932108-34932162"	55	3	55	"SPTSSA"	3	1.137e-05	0.01045
"14:36279320-36279404"	85	3	85	"RALGAPA1"	2	0.02084	1
"14:45724673-45724797"	125	3	125	"MIS18BP1"	3	0.0006369	0.2974
"14:47121217-47121349"	133	4	133	"RPL10L"	3	0.004371	0.8829
"14:51337676-51337769"	94	3	94	"ABHD12B"	2	0.00926	1
"14:52734366-52734462"	97	3	97	"PTGDR"	2	0.03426	1
"14:72398396-72398517"	122	3	122	"RGS6"	3	0.004078	0.8648
"14:73926455-73926505"	51	5	51	"NUMB"	5	6.303e-08	6.643e-05
"14:75422844-75422910"	67	3	67	"PGF"	2	0.04081	1
"14:77787144-77787217"	74	3	74	"GSTZ1"	2	0.006945	0.9971
"14:78868775-78868831"	57	3	57	"NRXN3"	2	0.002252	0.6666
"14:90721715-90721780"	66	3	66	"PSMC1"	2	0.002959	0.7634
"14:92572987-92573043"	57	3	57	"ATXN3"	3	0.001144	0.4462
"14:94985985-94986085"	101	4	101	"SERPINA12"	4	1.237e-06	0.001226
"14:94986413-94986523"	111	3	111	"SERPINA12"	2	0.09944	1
"14:101296696-101296746"	51	3	51	"AL117190.2"	3	0.0004028	0.2223
"14:105936437-105936493"	57	4	57	"CRIP2"	2	0.004455	0.8865
"15:22366739-22366811"	73	3	73	"OR4M2"	3	0.0002536	0.1575
"15:22366930-22366986"	57	10	57	"OR4M2"	10	7.284e-18	8.573e-15
"15:22367133-22367261"	129	4	129	"OR4M2"	4	0.000185	0.123
"15:22380525-22380615"	91	3	91	"OR4N4"	3	0.0003745	0.2123
"15:22381780-22381882"	103	4	103	"OR4N4"	4	2.476e-05	0.02139
"15:22381979-22382091"	113	4	113	"OR4N4"	4	2.241e-05	0.01959
"15:22382275-22382379"	105	3	105	"OR4N4"	3	0.002387	0.6898
"15:22455720-22455819"	100	3	95	"AC010760.1"	2	0.007776	1
"15:22735464-22735517"	54	6	54	"GOLGA6L1"	6	1.451e-12	1.67e-09
"15:22831298-22831371"	74	3	74	"TUBGCP5"	3	1.226e-05	0.01121
"15:23253370-23253488"	119	3	119	"GOLGA8I"	2	0.007833	1
"15:23253548-23253640"	93	3	93	"GOLGA8I"	3	0.0001101	0.07887
"15:23892285-23892373"	89	4	89	"MAGEL2"	4	5.812e-06	0.005475
"15:26110650-26110741"	92	3	92	"ATP10A"	3	0.0005307	0.2682
"15:28346233-28346348"	116	3	116	"OCA2"	2	0.02566	1
"15:28347118-28347194"	77	3	77	"OCA2"	3	0.0008983	0.3775
"15:35047288-35047422"	135	4	135	"GJD2"	4	0.0002508	0.156
"15:35048764-35048863"	100	3	100	"GJD2"	3	0.009695	1
"15:37393512-37393564"	53	3	53	"MEIS2"	3	3.933e-05	0.03225
"15:40601040-40601157"	118	4	118	"PLCB2"	3	0.0003044	0.1811
"15:42650605-42650658"	54	3	54	"CAPN3"	3	1.91e-05	0.01688
"15:44084345-44084439"	95	3	95	"SERF2"	3	0.0004006	0.2215
"15:44580581-44580665"	85	3	85	"CASC4"	2	0.002669	0.734
"15:44580735-44580827"	93	4	93	"CASC4"	3	0.0008697	0.3722
"15:48621774-48621853"	80	3	80	"DUT"	2	0.004273	0.8688
"15:49461273-49461343"	71	9	71	"GALK2"	5	2.059e-08	2.201e-05
"15:52863047-52863180"	134	3	134	"ARPP19"	3	0.001186	0.4566
"15:56210386-56210488"	103	3	103	"NEDD4"	2	0.00189	0.6004
"15:59902400-59902479"	80	5	80	"GCNT3"	3	5.447e-05	0.04319
"15:60691302-60691352"	51	5	51	"ANXA2"	5	2.491e-08	2.655e-05
"15:63413058-63413135"	78	5	78	"LACTB"	5	6.436e-08	6.777e-05
"15:64679539-64679623"	85	5	85	"TRIP4"	4	1.392e-05	0.01261
"15:66086807-66086968"	162	4	162	"DENND4A"	4	0.002118	0.6396
"15:69743782-69743904"	123	3	123	"RPLP1"	3	0.00343	0.8298
"15:71055919-71055987"	69	3	55	"UACA"	3	0.0006443	0.2997
"15:72690382-72690487"	106	3	106	"TMEM202"	2	0.1131	1
"15:78370111-78370169"	59	3	59	"TBC1D2B"	3	0.0003906	0.2176
"15:78580641-78580712"	72	3	72	"WDR61"	2	0.002424	0.6898
"15:84115202-84115312"	111	3	111	"SH3GL3"	2	0.0349	1
"15:85922093-85922143"	51	3	51	"AKAP13"	3	1.312e-05	0.01194
"15:90118557-90118687"	131	3	131	"TICRR"	3	0.001131	0.4456
"16:69792-69854"	63	8	63	"WASH4P"	5	4.304e-09	4.696e-06
"16:1120128-1120183"	56	3	56	"SSTR5"	3	0.0005592	0.2779
"16:2730200-2730258"	59	4	59	"KCTD5"	3	0.001244	0.4665
"16:2838375-2838425"	51	3	51	"PRSS33"	3	0.0001832	0.1222
"16:3331388-3331490"	103	3	103	"ZNF263"	2	0.01596	1
"16:12897958-12898021"	64	3	64	"CPPED1"	3	0.0001957	0.1284
"16:12993658-12993759"	102	3	102	"SHISA9"	2	0.01311	1
"16:16325930-16325980"	51	3	51	"NOMO3"	3	5.043e-05	0.04019
"16:20087666-20087737"	72	3	72	"GPR139"	3	0.004924	0.9116
"16:20419638-20419724"	87	3	87	"ACSM5"	2	0.07466	1
"16:27323216-27323309"	94	3	94	"IL4R"	3	0.0008922	0.3775
"16:28508458-28508541"	84	3	84	"CLN3"	2	0.008975	1
"16:46655725-46655775"	51	4	51	"SHCBP1"	4	4.251e-07	0.0004319
"16:47008926-47008985"	60	9	60	"DNAJA2"	5	2.09e-08	2.232e-05
"16:51187949-51188054"	106	3	106	"SALL1"	3	0.007413	1
"16:55868448-55868501"	54	4	54	"CES1"	2	0.01112	1
"16:57319561-57319613"	53	5	53	"PLLP"	4	6.897e-06	0.006456
"16:57405117-57405220"	104	3	104	"CX3CL1"	3	0.0004937	0.2557
"16:66733358-66733412"	55	3	55	"CMTM4"	3	5.142e-05	0.04088
"16:69761747-69761852"	106	4	106	"NQO1"	4	2.248e-05	0.01963
"16:69789297-69789347"	51	8	51	"NOB1"	8	1.184e-14	1.378e-11
"16:70301652-70301702"	51	3	51	"AARS"	3	1.663e-05	0.01488
"16:70557518-70557568"	51	6	51	"SF3B3"	6	5.664e-11	6.389e-08
"16:74409057-74409129"	73	3	73	"NPIPB15"	3	5.9e-05	0.04584
"16:74456128-74456218"	91	3	91	"CLEC18B"	3	0.0003922	0.2179
"16:74458136-74458199"	64	3	64	"CLEC18B"	3	2.661e-05	0.02286
"16:75021495-75021574"	80	4	80	"WDR59"	3	0.00387	0.8437
"16:75591326-75591376"	51	3	51	"TMEM231"	3	1.657e-06	0.001619
"16:77470251-77470315"	65	3	65	"ADAMTS18"	2	0.001414	0.5075
"16:78131610-78131684"	75	3	75	"WWOX"	3	0.0009021	0.378
"16:78132329-78132383"	55	3	55	"WWOX"	3	2.742e-06	0.002654
"16:86598272-86598322"	51	3	51	"FOXC2"	3	4.431e-05	0.03585
"17:658097-658147"	51	4	51	"GEMIN4"	4	6.395e-07	0.0006465
"17:1533773-1533826"	54	9	54	"SLC43A2"	9	1.078e-19	1.274e-16
"17:4699223-4699298"	76	3	76	"PSMB6"	2	0.05516	1
"17:6340957-6341067"	111	3	111	"AIPL1"	3	0.0003845	0.2157
"17:6916004-6916069"	66	6	66	"AC027763.2"	3	4.256e-05	0.03464
"17:6937482-6937537"	56	5	56	"SLC16A13"	5	8.128e-08	8.51e-05
"17:7142810-7142860"	51	4	51	"PHF23"	4	9.225e-09	9.972e-06
"17:7756855-7756957"	103	7	103	"TMEM88"	4	5.887e-05	0.04581
"17:8337501-8337561"	61	3	61	"NDEL1"	3	0.0004777	0.2508
"17:9728343-9728460"	118	3	118	"RP11-477N12.3"	3	0.005296	0.9374
"17:9728343-9728460"	118	3	118	"GLP2R"	3	0.005296	0.9374
"17:9810771-9810859"	89	3	89	"RCVRN"	3	0.005717	0.9592
"17:16284322-16284430"	109	4	109	"UBB"	4	0.0001778	0.1193
"17:16557168-16557220"	53	3	53	"ZNF624"	2	0.01056	1
"17:27369755-27369805"	51	3	51	"PIPOX"	3	1.64e-05	0.01469
"17:28804302-28804355"	54	3	54	"GOSR1"	2	0.004665	0.9025
"17:33523786-33523839"	54	4	54	"SLC35G3"	3	2.27e-05	0.01979
"17:34124131-34124183"	53	3	53	"MMP28"	3	1.54e-05	0.01388
"17:36105055-36105162"	108	3	108	"HNF1B"	3	0.001628	0.5467
"17:36350140-36350228"	89	4	89	"TBC1D3"	4	1.763e-05	0.01569
"17:36908149-36908240"	92	3	92	"PCGF2"	3	0.0007291	0.3274
"17:37025418-37025480"	63	11	63	"LASP1"	11	2.029e-19	2.396e-16
"17:37765260-37765310"	51	3	51	"NEUROD2"	3	1.138e-05	0.01045
"17:39144675-39144748"	74	13	74	"KRT40"	11	2.277e-19	2.687e-16
"17:39158146-39158198"	53	4	53	"KRTAP3-2"	3	5.704e-05	0.04493
"17:39255602-39255664"	63	6	63	"KRTAP4-8"	3	0.0001003	0.07264
"17:39255859-39255909"	51	4	51	"KRTAP4-8"	4	4.451e-06	0.004237
"17:39299021-39299110"	90	3	90	"KRTAP4-6"	3	0.001089	0.4312
"17:39325129-39325179"	51	3	51	"KRTAP4-3"	3	1.113e-05	0.01024
"17:39744115-39744170"	56	3	56	"KRT14"	2	0.003905	0.8474
"17:39945625-39945720"	96	7	96	"JUP"	7	8.338e-11	9.364e-08
"17:40335405-40335500"	96	4	96	"KCNH4"	4	9.742e-06	0.009021
"17:43223678-43223737"	60	3	60	"HEXIM1"	2	0.003419	0.8298
"17:43224134-43224216"	83	3	83	"HEXIM1"	2	0.06909	1
"17:44665982-44666032"	51	4	51	"NSF"	4	1.726e-07	0.0001786
"17:45769716-45769766"	51	3	51	"TBKBP1"	3	1.716e-05	0.01534
"17:45808094-45808211"	118	3	118	"TBX21"	3	0.0006446	0.2997
"17:46608640-46608712"	73	3	73	"HOXB1"	3	0.000381	0.2145
"17:46713773-46713830"	58	3	58	"HOXB7"	2	0.005726	0.9592
"17:46896617-46896667"	51	4	51	"TTLL6"	4	3.971e-07	0.0004042
"17:50238128-50238183"	56	6	56	"CA10"	5	9.064e-09	9.807e-06
"17:51897818-51897901"	84	3	84	"KIF2B"	3	0.0002647	0.162
"17:53044378-53044430"	53	3	53	"STXBP4"	3	3.211e-05	0.02694
"17:53341315-53341422"	108	3	108	"HLF"	3	0.001523	0.529
"17:55160414-55160481"	68	10	68	"AKAP1"	9	5.144e-16	6.013e-13
"17:56082689-56082739"	51	4	27	"RP11-159D12.5"	4	2.417e-07	0.0002487
"17:61820967-61821047"	81	8	81	"STRADA"	7	5.811e-10	6.444e-07
"17:61975472-61975561"	90	3	90	"CSH1"	3	0.0007197	0.3246
"17:61976146-61976217"	72	3	72	"CSH1"	3	0.0001877	0.1241
"17:61989757-61989823"	67	3	67	"CSHL1"	2	0.007168	1
"17:62011377-62011429"	53	6	53	"CD79B"	4	1.617e-06	0.001585
"17:64958985-64959035"	51	3	51	"CACNG4"	3	1.896e-05	0.01678
"17:65990557-65990678"	122	6	122	"C17orf58"	6	1.636e-08	1.757e-05
"17:66454579-66454629"	51	3	51	"WIPI1"	3	0.0003838	0.2157
"17:67059726-67059785"	60	8	60	"ABCA9"	8	1.002e-14	1.167e-11
"17:70116794-70116851"	58	5	58	"SOX9"	5	1.231e-07	0.000128
"17:72544030-72544128"	99	3	99	"CD300C"	3	0.000884	0.3775
"17:73179549-73179619"	71	3	71	"SUMO2"	3	0.0007408	0.3315
"17:76182722-76182791"	70	3	70	"AFMID"	3	6.205e-05	0.04765
"17:76183314-76183371"	58	5	58	"AFMID"	5	7.059e-09	7.659e-06
"17:76210180-76210252"	73	4	73	"BIRC5"	4	8.809e-06	0.008184
"17:76923077-76923135"	59	3	59	"TIMP2"	2	0.002235	0.666
"18:580020-580072"	53	6	53	"CETN1"	3	8.942e-05	0.06572
"18:13824060-13824126"	67	3	67	"MC5R"	2	0.0175	1
"18:14134800-14134894"	95	10	95	"ZNF519"	8	6.392e-14	7.421e-11
"18:14746064-14746169"	106	3	106	"ANKRD30B"	3	0.0006117	0.2912
"18:14746654-14746741"	88	3	88	"ANKRD30B"	3	0.0007774	0.3397
"18:33079960-33080034"	75	3	75	"INO80C"	2	0.004215	0.8688
"18:39535068-39535147"	80	3	80	"PIK3C3"	3	0.0005879	0.2863
"18:40697345-40697423"	79	3	79	"RIT2"	2	0.0119	1
"18:45460356-45460406"	51	3	51	"SMAD2"	3	3.239e-05	0.02714
"18:56296782-56296834"	53	3	53	"ALPK2"	3	0.0007105	0.3233
"18:56297787-56297875"	89	4	89	"ALPK2"	4	0.0001318	0.092
"18:61330064-61330153"	90	5	90	"SERPINB3"	5	1.074e-07	0.0001119
"18:70537720-70537828"	109	4	91	"NETO1"	4	0.0001261	0.08852
"19:916710-916760"	51	7	51	"KISS1R"	7	7.063e-14	8.193e-11
"19:1490956-1491063"	108	4	108	"PCSK4"	4	0.0005706	0.2813
"19:3572716-3572843"	128	5	128	"HMG20B"	4	7.063e-05	0.0534
"19:4151410-4151482"	73	3	73	"CREB3L3"	3	0.0001156	0.08212
"19:4724633-4724752"	120	3	120	"DPP9"	3	0.009708	1
"19:4791456-4791560"	105	3	105	"FEM1A"	3	0.001248	0.4665
"19:5343014-5343113"	100	3	100	"PTPRS"	2	0.008239	1
"19:5720206-5720313"	108	3	108	"CATSPERD"	3	0.0003716	0.2114
"19:6722083-6722137"	55	3	55	"C3"	3	7.371e-05	0.05543
"19:7586937-7587005"	69	3	69	"MCOLN1"	2	0.004689	0.9025
"19:7825777-7825875"	99	3	99	"CLEC4M"	3	0.0009398	0.3881
"19:9092191-9092243"	53	5	53	"MUC16"	5	4.382e-08	4.636e-05
"19:9203758-9203808"	51	3	51	"OR1M1"	3	0.000197	0.1288
"19:9611357-9611421"	65	3	65	"ZNF560"	2	0.006578	0.9903
"19:10343007-10343065"	59	3	59	"S1PR2"	3	6.851e-05	0.05195
"19:10514834-10514888"	55	4	55	"CDC37"	4	2.885e-06	0.00279
"19:10947066-10947168"	103	3	103	"TMED1"	3	0.008318	1
"19:14683265-14683315"	51	3	51	"NDUFB7"	3	6.011e-05	0.0464
"19:15238054-15238153"	100	3	100	"ILVBL"	3	0.0006474	0.2997
"19:15238766-15238886"	121	3	121	"ILVBL"	3	0.003434	0.8298
"19:15903161-15903216"	56	3	56	"OR10H5"	2	0.001987	0.614
"19:15920056-15920118"	63	3	63	"OR10H1"	3	2.811e-05	0.02401
"19:17800171-17800277"	107	3	107	"UNC13A"	3	0.0006211	0.2932
"19:18550404-18550459"	56	4	56	"ISYNA1"	4	2.653e-05	0.02282
"19:19432785-19432837"	53	3	53	"SUGP1"	3	3.203e-05	0.02691
"19:20749867-20749933"	67	5	67	"ZNF737"	5	1.372e-08	1.476e-05
"19:22034827-22034897"	71	3	67	"ZNF43"	2	0.006266	0.9712
"19:22232905-22233025"	121	3	121	"ZNF257"	3	0.001384	0.5052
"19:22382476-22382558"	83	4	83	"ZNF676"	3	0.001186	0.4566
"19:22467429-22467526"	98	3	98	"ZNF729"	3	0.001666	0.5544
"19:22815007-22815082"	76	3	76	"ZNF492"	3	0.0007399	0.3315
"19:22815930-22815988"	59	3	59	"ZNF492"	3	0.0001703	0.1148
"19:23433850-23433902"	53	3	53	"ZNF724P"	3	5.704e-05	0.04493
"19:23870538-23870620"	83	4	83	"ZNF675"	4	1.59e-06	0.00156
"19:24267406-24267504"	99	3	99	"ZNF254"	2	0.005195	0.9351
"19:30015579-30015696"	118	3	118	"VSTM2B"	3	0.002388	0.6898
"19:30300370-30300420"	51	4	51	"CCNE1"	4	1.241e-07	0.0001289
"19:32836158-32836210"	53	7	53	"ZNF507"	5	1.063e-07	0.0001109
"19:33182697-33182782"	86	3	86	"NUDT19"	3	0.005676	0.9592
"19:36606368-36606418"	51	6	51	"TBCB"	6	2.749e-10	3.068e-07
"19:36909645-36909755"	111	3	111	"ZFP82"	3	0.002804	0.7487
"19:37095682-37095757"	76	3	76	"ZNF382"	2	0.009729	1
"19:37096149-37096240"	92	3	72	"ZNF382"	3	0.0004956	0.2557
"19:37824438-37824552"	115	3	115	"HKR1"	2	0.008033	1
"19:38754963-38755031"	69	3	69	"SPINT2"	3	0.002854	0.7535
"19:38826159-38826211"	53	5	53	"CATSPERG"	4	2.488e-08	2.655e-05
"19:39926769-39926865"	97	3	97	"RPS16"	3	0.007955	1
"19:40033587-40033639"	53	7	53	"EID2"	7	2.681e-11	3.043e-08
"19:40501237-40501304"	68	4	68	"ZNF546"	4	2.65e-06	0.002572
"19:40734559-40734620"	62	4	62	"CNTD2"	3	1.935e-05	0.01709
"19:40971746-40971814"	69	3	67	"SPTBN4"	2	0.004492	0.8894
"19:41221752-41221802"	51	8	51	"ITPKC"	8	4.754e-15	5.548e-12
"19:41724645-41724718"	74	3	74	"AXL"	3	4.933e-05	0.03937
"19:42362466-42362528"	63	3	63	"RPS19"	3	1.38e-05	0.01252
"19:42489212-42489317"	106	3	95	"ATP1A3"	2	0.01327	1
"19:43773887-43773941"	55	3	55	"PSG9"	3	6.35e-05	0.04851
"19:44032186-44032277"	92	3	92	"ETHE1"	3	0.002641	0.7289
"19:44176224-44176301"	78	3	78	"PLAUR"	3	0.0009311	0.3855
"19:44488196-44488311"	116	3	116	"ZNF155"	3	0.0007862	0.3397
"19:44763408-44763461"	54	4	54	"ZNF233"	2	0.001579	0.5353
"19:45145829-45145881"	53	3	53	"PVR"	3	3.679e-05	0.0305
"19:45309957-45310008"	52	3	52	"BCAM"	3	0.0001681	0.1135
"19:46318653-46318705"	53	3	39	"RSPH6A"	3	0.0002151	0.1379
"19:46496326-46496396"	71	3	71	"CCDC61"	3	0.003139	0.7942
"19:47924138-47924226"	89	3	89	"MEIS3"	3	0.0003689	0.211
"19:48060072-48060196"	125	3	125	"ZNF541"	3	0.00053	0.2682
"19:48391996-48392123"	128	4	128	"SULT2A1"	4	0.0002364	0.1498
"19:48771901-48771953"	53	4	53	"ZNF114"	3	1.864e-05	0.01652
"19:49534277-49534341"	65	4	65	"CGB2"	3	5.554e-05	0.04399
"19:49541535-49541663"	129	4	129	"CGB1"	4	0.0003724	0.2115
"19:49542356-49542456"	101	4	101	"CGB1"	2	0.005809	0.9592
"19:49546755-49546832"	78	3	78	"CGB5"	2	0.003523	0.8298
"19:49552954-49553050"	97	3	97	"CGB8"	3	0.0004248	0.2315
"19:50269854-50269926"	73	4	73	"AP2A1"	4	0.0001242	0.08744
"19:50870779-50870829"	51	3	51	"NAPSA"	3	6.288e-06	0.0059
"19:51291711-51291821"	111	4	111	"ACPT"	3	0.007682	1
"19:51293114-51293196"	83	3	83	"ACPT"	3	0.0002987	0.1783
"19:51335219-51335311"	93	3	93	"KLK15"	3	0.0002129	0.1367
"19:51813610-51813684"	75	4	75	"IGLON5"	4	2.871e-05	0.02437
"19:52035374-52035436"	63	6	63	"SIGLEC6"	6	1.52e-09	1.675e-06
