ATRX	X:76763767-77044701
AHSP	16:31536202-31540200
AHSG	3:186327849-186338755
SHISA4	1:201854835-201860747
AC004901.1	7:46972514-47037599
PFN1	17:4849160-4851411
TMEM211	22:25331215-25338313
RP11-196G18.23	1:149801220-149801224
RP11-196G18.22	1:149817478-149819640
TMEM210	9:140065378-140068117
RNU6-55P	13:19445988-19446072
SHISA2	13:26620564-26628168
CDC25B	20:3773400-3788451
SHISA3	4:42396855-42403453
KRT40	17:39134417-39146386
IL37	2:113667547-113676488
IL34	16:70611820-70694007
IL32	16:3113727-3121896
IL33	9:6212803-6256255
IL31	12:122656914-122661745
NKPD1	19:45655102-45663188
HMBOX1	8:28745140-28909189
COX14	12:50505102-50514145
COX15	10:101473044-101491975
CAMK2N2	3:183977933-183979250
CAMK2N1	1:20806852-20815712
CBR1	21:37439284-37445254
RHPN1-AS1	8:144448024-144448054
CBR3	21:37504262-37518879
CCNA1	13:37003408-37016831
HYOU1	11:118915700-118930867
GTSF1L	20:42354643-42358637
RP11-296O14.3	1:173384655-173399296
RP11-179A16.1	11:81601708-81877688
AZU1	19:824967-831922
SAYSD1	6:39073145-39085864
ERAP2	5:96209315-96253369
ERAP1	5:96111765-96146732
RP11-444A22.1	2:59746377-60327536
NMRK2	19:3931077-3942382
NMRK1	9:77681616-77703124
PLA2G1B	12:120759908-120768591
DDX58	9:32457107-32529321
AC073283.4	2:47463586-47540462
DDX52	17:35972429-36006492
DENR	12:123234370-123253764
DDX50	10:70658033-70706407
DDX51	12:132623723-132628991
DDX56	7:44605873-44616523
ZNF165	6:28045751-28057320
GATS	7:99831175-99869608
GATM	15:45654243-45691526
MIR3180-4	16:15246702-15252432
MIR3180-2	16:16400157-16406740
MIR3180-3	16:18493884-18499682
MIR3180-1	16:15001506-15008127
EGLN3	14:34394950-34423283
EGLN2	19:41305091-41314337
EGLN1	1:231502055-231563789
DNAH1	3:52347334-52434529
DNAH6	2:84740578-85049148
DNAH7	2:196602571-196936535
DNAH5	5:13692015-13947588
DNAH8	6:38680116-38998257
DNAH9	17:11498747-11875041
RP11-211G3.3	3:187419346-187451629
GPR17	2:128408828-128412462
RP11-87H9.3	9:69082044-69085087
LAG3	12:6880109-6887627
HSD17B11	4:88258355-88315454
ETF1	5:137843894-137881931
RP11-728K20.3	7:149588234-149590387
OR8K1	11:56110514-56114559
OR8K3	11:56082782-56086810
OR8K5	11:55926769-55930792
GNB5	15:52414869-52476940
GNB4	3:179118975-179172370
GNB1	1:1713727-1825494
GNB3	12:6946374-6954977
GNB2	7:100268362-100276269
OPN1LW	X:153406724-153424486
FBXW2	9:123526791-123558689
PARD3B	2:205407515-206480586
CKAP2L	2:113503924-113525253
KIAA1683	19:18367924-18387560
ETFB	19:51848381-51869659
GTF2A1	14:81646518-81690293
GTF2A2	15:59931223-59952736
IGKV2-28	2:89521090-89522110
RP11-191N8.2	1:222000174-222011510
RP1-34H18.1	12:77747954-77966133
RPE	2:210864351-210887663
RP1	8:55525626-55542981
RP2	X:46693373-46739322
RP9	7:33134768-33152001
RP11-343J18.2	9:128869446-128920431
CALD1	7:134427780-134650209
RP11-32B5.7	15:21938145-21953973
NUP62CL	X:106363655-106449860
CSTF1	20:54967393-54978828
CSTF3	11:33106564-33186036
CSTF2	X:100072382-100093382
AC012360.1	2:105868745-105869076
BPTF	17:65818779-65978486
SYMPK	19:46318691-46367516
TNMD	X:99836797-99854753
CTC-756D1.3	8:23353843-23353942
CTC-756D1.2	8:23318208-23341854
SOX30	5:157053335-157094884
RN7SL804P	12:69797422-69797730
SERPINC1	1:173872969-173889515
CLN6	15:68499328-68549189
CLN5	13:77561793-77575184
CLN3	16:28477972-28509454
IGKJ5	2:89160196-89161616
MIR519A2	19:54264254-54265811
CLN8	8:1708926-1736689
TJP3	19:3721821-3747875
CLNK	4:10492009-10689385
ACSM2A	16:20459892-20498088
ACSM2B	16:20548482-20590694
GCSAML	1:247712341-247737751
OR51I1	11:5461798-5462743
OR51I2	11:5474637-5475706
AC003051.1	17:67599220-67603571
RBX1	22:41344361-41368637
HRAS	11:529579-535549
CDYL2	16:80638232-80841174
CLRN1-AS1	3:150581736-150714277
TRAPPC6A	19:45663189-45683170
KRTAP9-8	17:39391296-39395267
KRTAP9-9	17:39408635-39412633
KRTAP9-1	17:39344594-39347136
KRTAP9-2	17:39379899-39383897
KRTAP9-3	17:39385714-39391295
KRTAP9-4	17:39402938-39406936
KRTAP9-6	17:39421469-39421778
KRTAP9-7	17:39432115-39432467
JMJD1C	10:64927768-65228721
RP11-347C12.2	16:30296417-30347904
OR52I2	11:4605020-4609170
OR52I1	11:4612268-4616341
DTNBP1	6:15526534-15666272
AC092684.1	2:164657051-164991523
CDC14B	9:99265984-99385111
CDC14A	1:100815022-100964975
GPR179	17:36480537-36502692
RP11-536C10.16	14:19413111-19413819
GPR171	3:150916142-150920978
SPATA6L	9:4604094-4666342
GPR174	X:78423468-78427491
GPR176	15:40093265-40216092
MEIOB	16:1884167-1925178
SH3YL1	2:218718-265866
AC008834.1	5:97444171-97446327
RAX	18:56936108-56943624
RNY5	7:148637843-148638632
CEACAM20	19:45010143-45036547
CEACAM21	19:42052884-42092981
RNY1	7:148684339-148685279
CSTF3-AS1	11:33200856-33210114
SS18L2	3:42623331-42636079
SS18L1	20:60718486-60757539
AC083843.2	8:135842491-135843750
AC083843.1	8:135812705-135812909
UCHL5	1:192985390-193026184
UCHL1	4:41255897-41270178
UCHL3	13:76120926-76180049
NFYC	1:41154359-41237233
RARRES2	7:150035406-150041762
RARRES3	11:63301279-63313778
RARRES1	3:158415382-158453274
ZNF404	19:44376660-44388252
RNF126P1	17:55123028-55123664
ZNF407	18:72339922-72779672
ZNF408	11:46722367-46727471
RP11-105C20.2	16:59771966-59788887
RP11-204M4.2	9:41962419-42022579
PRELID1	5:176727834-176735008
PRELID2	5:145094579-145217898
FAM171B	2:187555788-187627652
PDE6D	2:232597602-232646000
KIAA0247	14:70075311-70183630
PPP6R2	22:50778745-50879485
PPP6R3	11:68225185-68382192
PPP6R1	19:55741146-55773037
EFCAB7	1:63986059-64038203
EFCAB6	22:43924639-44211184
OR5I1	11:55702841-55706875
SETD1A	16:30972526-30996436
SETD1B	12:122239637-122268217
NIM1	5:43189326-43280926
TLX1NB	10:102849182-102890877
LINC00621	13:23471357-23490534
LINC00620	3:13740119-13740247
LINC00622	1:120143860-120144177
RP11-202D1.3	18:51094739-51094838
RP11-96L7.2	9:101944015-101944234
RP11-474N24.6	18:9910954-9910996
SIAE	11:124506760-124543776
RP1-154K9.2	X:42390701-42550690
RP11-66B24.5	15:101253660-101265590
KB-1460A1.2	8:102140193-102140419
KB-1460A1.3	8:102149453-102149812
LETM2	8:38242790-38265837
AC092661.1	4:118496195-118497293
TRAV38-2DV8	14:22748958-22749694
RNU6-1117P	2:35696486-35696671
PXDN	2:1637852-1751277
RP11-468E2.6	14:24587558-24604037
RP11-1060G2.1	12:94312015-94332482
RP11-114H20.1	X:51795910-51797417
AL669831.1	1:741093-741346
LANCL2	7:55430140-55499031
LANCL3	X:37430904-37535113
LANCL1	2:211299159-211344428
AC092675.3	2:98949684-98949982
RP11-1078H9.6	14:90956486-90958166
NPEPPS	17:45600276-45699243
RAB7A	3:128441978-128532409
GNPNAT1	14:53244955-53261318
EFEMP1	2:56090100-56154273
EFEMP2	11:65631913-65643376
NLE1	17:33459410-33472333
OR4M2	15:22365477-22369599
OR4M1	14:20245481-20249536
SCTR	2:120198897-120285027
WNT5B	12:1703331-1759408
WNT5A	3:55503997-55526259
HNRNPH1	5:179041735-179053721
HNRNPH3	10:70091831-70101930
HNRNPH2	X:100662913-100670755
MIR891A	X:145109213-145109509
MIR891B	X:145082491-145082754
ICA1L	2:203638429-203693791
HNRNPUL2	11:62482717-62496009
HNRNPUL1	19:41767234-41812539
DPH6	15:35529471-35840394
STOML3	13:39540915-39567995
STOML2	9:35099953-35104115
PAIP1	5:43527452-43560194
RP11-250B2.3	6:81167166-81167314
FOXG1	14:29233286-29238023
DCAF13	8:104426941-104458032
DCAF12	9:34088299-34129770
DCAF11	14:24581415-24587557
DCAF10	9:37800498-37861577
DCAF17	2:172293596-172337708
DCAF16	4:17805040-17812380
DCAF15	19:14063198-14071854
PAPSS1	4:108535330-108644418
TXN	9:113006421-113021919
PAPSS2	10:89416475-89505765
TXK	4:48069641-48137797
SLC8A1-AS1	2:40147484-40264732
WARS2	1:119575456-119686293
TRMT10A	4:100470192-100480567
TRMT10C	3:101277711-101284901
TRMT10B	9:37753813-37777752
SLC35E2	1:1656275-1680357
SLC35E3	12:69139311-69181661
SLC35E4	22:31028792-31045080
RP11-106M3.2	15:72615470-72617453
RP1-92C4.2	6:80579932-80580081
RP11-304M2.6	11:121091-121580
RP11-304M2.3	11:130196-154004
MIR4771-2	2:87420515-87423848
MYOZ2	4:120053938-120107416
MYOZ3	5:150037434-150056503
MYOZ1	10:75391641-75404514
RP11-354I13.2	16:60391014-60393656
RP11-406H21.2	10:17181086-17181297
RN7SL727P	X:139169379-139171306
WRB	21:40749212-40768913
WRN	8:30888315-31030721
TCF15	20:585134-593909
SCNM1	1:151138517-151144273
TCF12	15:57261738-57574845
TCF19	6:31123317-31128565
UROS	10:127474224-127512113
TRBV6-4	7:142250615-142254151
UROD	1:45477818-45481196
AC007365.1	2:64836548-64845047
NXF3	X:102331125-102351021
TRBV6-1	7:142028162-142028666
EPPK1	8:144940128-144951184
HMMR	5:162890770-162918244
RPRD2	1:150337169-150445893
RP5-1109J22.1	1:46901608-46902654
SGIP1	1:66996824-67207191
ANPEP	15:90325169-90361071
C8orf33	8:146277807-146279662
C8orf31	8:144124307-144130701
C8orf37	8:96259771-96281730
C8orf34	8:69351672-69733784
KLHL25	15:86311186-86341188
TMEM88	17:7755382-7759378
KLHL26	19:18747836-18780120
KLHL21	1:6653435-6665928
KLHL20	1:173681107-173754440
KLHL23	2:170551000-170606323
KLHL22	22:20792804-20853169
TMEM81	1:205052568-205055267
TMEM80	11:698532-703110
TMEM82	1:16067891-16074139
KLHL29	2:23609944-23929625
KLHL28	14:45398121-45433334
SMO	7:128825712-128852338
LTB4R	14:24780724-24786043
POLE	12:133197555-133261225
POLB	8:42192972-42229336
POLN	4:2073671-2243823
POLM	7:44112829-44125128
POLL	10:103339169-103348043
POLK	5:74807454-74893927
POLI	18:51792848-51820908
POLH	6:43543886-43582335
NOS2P3	17:20346018-20348576
ATP5EP2	13:28519283-28519655
GGN	19:38876536-38880250
GGH	8:63927847-63954609
IL17D	13:21274481-21296050
IL17F	6:52101699-52112297
IL17A	6:52048184-52054156
IL17B	5:148753907-148777404
IL17C	16:88702000-88706538
CHRDL1	X:109919394-110042075
CHRDL2	11:74407518-74445185
RP11-697E2.6	15:90789787-90815092
CTD-2384A14.1	14:29345371-29366134
C20orf173	20:34114923-34117284
AOC1	7:150520184-150558356
TMEM8A	16:417771-437660
TMEM8C	9:136379660-136393067
FAM89B	11:65336998-65341662
RP11-343N15.2	1:121154333-121154612
RP11-343N15.1	1:121107051-121129822
RP13-512J5.1	2:3579767-3593395
C2CD2L	11:118978092-118989324
HOXD12	2:176963666-176965567
EI24	11:125436297-125453598
SGMS2	4:108742720-108831772
SGMS1	10:52066841-52386736
PRC1	15:91509717-91541208
HOXD11	2:176969083-176973633
EPS15	1:51822334-51987994
OR14A2	1:247886364-247887408
LMCD1	3:8540510-8609406
AOC3	17:41002724-41008618
ZNF648	1:182025449-182033846
ZNF649	19:52390230-52411263
ZNF646	16:31085641-31094973
ZNF644	1:91381579-91490811
ZNF645	X:22288063-22292449
CREB5	7:28398289-28858986
ZNF641	12:48730801-48747673
GTPBP10	7:89972978-90014514
MIS18BP1	14:45673247-45725604
AOC2	17:41000200-41002723
CTD-2008A1.2	15:45123657-45146733
IGHD	14:106303394-106312152
SPATA5L1	15:45691527-45713449
OR1G1	17:3029812-3033844
AL590226.1	9:139587492-139591713
CTD-2008A1.1	15:45119170-45120907
AC011516.2	19:22803227-22803539
AC011516.1	19:22610268-22610541
PRCC	1:156734290-156770334
AC007179.1	2:59662883-59663256
CTC-296K1.4	17:42872287-42872457
GOLGA6L7P	15:29087314-29091560
ZNF391	6:27342154-27369291
PRCP	11:82535904-82611638
ZNF394	7:99091177-99097886
ZNF395	8:28201359-28246976
ZNF396	18:32948216-32960300
ZNF397	18:32817999-32837921
RP3-410C9.2	20:26171586-26174254
NUDT22	11:63991354-63995036
NUDT21	16:56468180-56485286
POPDC2	3:119357904-119382403
POPDC3	6:105606314-105630857
SPIN4	X:62569850-62574217
SPIN1	9:91000332-91096608
SPIN3	X:57020594-57024968
MIR320B1	1:117214307-117214521
IFT52	20:42216578-42275680
IFT57	3:107877190-107944416
AC008752.2	19:9885325-9885711
LPP	3:187883508-188592336
LPO	17:56310141-56343741
LPL	8:19793581-19824796
GDAP1L1	20:42875863-42908477
LPA	6:160952640-161090406
CLECL1	12:9874466-9888894
PXDC1	6:3723762-3755245
DDAH1	1:85787134-86036170
DDAH2	6:31692622-31698393
CRELD2	22:50315121-50321068
CRELD1	3:9972504-9986344
RP11-330A16.1	6:14596765-14599041
RP11-430H10.4	11:45519987-45520402
RP11-430H10.2	11:45396231-45407623
ARL4D	17:41473352-41478974
KAT7	17:47862980-47904928
ARL4C	2:235399361-235408692
GLE1	9:131263977-131303513
LINC00588	8:58189981-58190164
RP4-798A10.7	1:16840625-16840764
RP4-798A10.4	1:16847226-16848168
RP11-703H8.7	11:62101773-62101917
JAM2	21:27008588-27084707
JAM3	11:133935819-134019185
GALNT8	12:4826751-4960199
GALNT9	12:132681572-132908788
GALNT4	12:89918216-89918582
TELO2	16:1540363-1557425
GALNT6	12:51748029-51788192
GALNT7	4:174086903-174242929
GALNT1	18:33171588-33289836
GALNT2	1:230193641-230415274
GALNT3	2:166605233-166653802
AC003973.5	19:22232265-22232288
DMWD	19:46286203-46299059
RP11-260E18.1	5:16627051-16627277
AC019172.2	2:3894677-3894819
RP1-290I10.7	6:10439791-10458427
KIF14	1:200522455-200592861
KIF15	3:44803208-44894422
KIF17	1:20990884-21045018
KIF11	10:94350041-94413605
KIF12	9:116854005-116864336
RP11-212P7.2	7:128170831-128173855
KIF19	17:72319350-72351505
NLRP5	19:56508091-56573001
NLRP4	19:56344943-56393082
NLRP7	19:55435017-55461872
NLRP6	11:275569-286169
NLRP1	17:5403813-5490831
NLRP3	1:247576457-247614252
NLRP2	19:55473651-55512351
PSEN2	1:227055272-227083334
PSEN1	14:73600153-73686073
NLRP9	19:56220226-56252767
NLRP8	19:56456197-56499355
WDR26	1:224581482-224622597
WDR27	6:169857553-170090375
WDR24	16:732799-740495
WDR25	14:100842774-100996485
WDR20	14:102605087-102691247
GNAO1	16:56222300-56389028
RQCD1	2:219433597-219459055
ASCL2	11:2286744-2295181
ASCL3	11:8959069-8965838
NAGLU	17:40685188-40699461
ASCL1	12:103348462-103355124
ASCL4	12:108165161-108169399
ASCL5	1:201083079-201084693
IGF2BP1	17:47071773-47126799
IGF2BP3	7:23351924-23512994
IGF2BP2	3:185363311-185545826
CD101	1:117541381-117576770
KIF1A	2:241656686-241762724
KIF1B	1:10267861-10438603
KIF1C	17:4898242-4927487
CD109	6:74402507-74533417
ZFP36	19:39894451-39899495
ZFP37	9:115804938-115821995
ZFP30	19:38125798-38149312
ATHL1	11:286170-298675
DKK2	4:107845054-108126820
NLRP14	11:7041599-7092634
NLRP11	19:56296908-56329609
NLRP10	11:7981099-7988058
NLRP13	19:56403365-56446701
NLRP12	19:54297215-54330647
DKK1	10:54071054-54079175
LOXL1	15:74215797-74244246
LOXL2	8:23152219-23264721
LOXL3	2:74759563-74781211
LOXL4	10:100008641-100031006
SPATC1L	21:47581224-47607372
AC007682.1	2:51438170-52304542
VIPR2	7:158823182-158940648
VIPR1	3:42531635-42576918
DIRC1	2:189599241-189653578
DIRC3	2:218225747-218620889
DIRC2	3:122512671-122598265
FAM207A	21:46363550-46396694
MIRLET7A2	11:122017166-122017384
RP11-403B2.7	15:20947267-20947356
CACNG8	19:54463292-54493468
DEFB129	20:204898-210521
DEFB128	20:168441-173263
DEFB127	20:135185-139730
CACNG1	17:65037704-65052435
CNTRL	9:123834139-123939566
CACNG3	16:24263873-24373263
CACNG4	17:64958024-65027283
CACNG5	17:64870347-64881429
CACNG6	19:54493469-54515431
CACNG7	19:54411436-54445872
RNU6-910P	3:196071530-196071530
RANBP10	16:67761647-67843554
RANBP17	5:170285895-170725933
RP11-84A19.2	1:32314122-32314596
RP11-84A19.4	1:32347349-32355149
SELENBP1	1:151337004-151348163
NSFL1C	20:1424316-1451336
AC002539.1	17:68033908-68034007
LAS1L	X:64732631-64757635
SLC25A22	11:790473-799181
SLC25A23	19:6438254-6462745
SLC25A20	3:48895089-48939425
SLC25A21	14:37152945-37587448
SLC25A26	3:66116284-66431289
SLC25A27	6:46620523-46644448
SLC25A24	1:108673656-108745973
TMEM71	8:133723027-133775827
SLC25A28	10:101370573-101383220
SLC25A29	14:100758664-100775859
RP11-467C18.1	1:59756068-59756565
COLCA1	11:111169249-111175769
COPB1	11:14479322-14521440
COPB2	3:139079866-139111521
KDELC1	13:103436731-103451356
RP5-821D11.7	22:42226105-42226106
KDELC2	11:108345456-108372158
AP001057.1	21:45621853-45623832
ZBBX	3:166958495-167101084
MKS1	17:56280398-56299665
AC079080.1	4:185186821-185189784
TRIM64C	11:49075145-49083663
TRIM64B	11:89603647-89612184
RPUSD4	11:126073226-126084586
RP3-400N23.6	22:31692334-31692586
RP11-567J20.2	8:49467467-49470142
RP11-567J20.3	8:49426743-49430973
GLB1L	2:220101754-220107202
AC018450.1	3:142886909-142887048
MAGEC1	X:140988678-140996699
AC073128.10	2:219773516-219774205
MAGEC3	X:140926040-140985734
MAGEC2	X:141290587-141296075
PSTPIP2	18:43565249-43655225
PSTPIP1	15:77284464-77329583
POFUT2	21:46685337-46710810
POFUT1	20:30795682-30825755
SNX17	2:27590387-27599596
SNX16	8:82713687-82757520
SNX15	11:64794886-64808043
SNX14	6:86215624-86303612
SNX13	7:17833606-17983116
SNX12	X:70276261-70291230
SNX11	17:46181919-46198913
SNX10	7:26328541-26412271
RP11-387H17.4	17:38086854-38092204
CCAT1	8:128218100-128232217
ICAM5	19:10397656-10407201
OR13D1	9:107453702-107457789
ICAM2	17:62080106-62100993
ICAM1	19:10378516-10397655
RP11-345F18.1	4:56700621-56700892
CTDSP1	2:219261617-219272373
CTDSP2	12:58217661-58243521
CTDSPL	3:37900668-38024187
RN7SL170P	20:55264383-55264602
RP11-6N17.9	17:46043737-46043948
RP11-221J22.1	3:101657360-101707745
RP11-225H22.4	10:105221645-105221647
SMTN	22:31475845-31503608
TMEM87B	2:112809799-112873782
TMEM87A	15:42502728-42560310
NEUROD2	17:37761660-37767174
NEUROD1	2:182542387-182548391
SGK3	8:67624652-67771854
SGK2	20:42189976-42213734
NEUROD4	12:55410728-55421292
BOD1L2	18:54814494-54815130
BOD1L1	4:13571582-13632327
LINC00470	18:1362459-1363841
SLC3A2	11:62620516-62656183
LINC00475	9:94912626-94919805
LINC00476	9:98619423-98634980
LINC00477	12:24717055-24717155
LINC00478	21:17444154-17971416
RP11-377G16.2	4:81101973-81102293
C1orf168	1:57185301-57258555
MAP4K1	19:39075517-39106732
MAP4K3	2:39477678-39667218
MAP4K2	11:64556969-64567931
TRIM73	7:75021902-75041063
TRIM72	16:31222341-31231394
TRIM71	3:32856509-32933406
GPD1	12:50494800-50505101
DFNB59	2:179316162-179326076
GPD2	2:157289899-157439486
MICU3	8:16881746-16981639
MICU2	13:22067319-22181352
MICU1	10:74127915-74388898
AC124997.1	15:25748611-25812138
NEFM	8:24768273-24776203
NEFL	8:24810222-24817130
NEFH	22:29873217-29886768
NRG1	8:31496837-32621978
NRG3	10:83632069-84745435
NRG2	5:139228170-139425883
NRG4	15:76235920-76307784
NRGN	11:124606828-124617365
EIF4EBP2	10:72161133-72179928
TFCP2L1	2:121983099-122045777
EDDM3A	14:21211098-21216260
NUMB	14:73743184-73928285
MS4A12	11:60257250-60274637
MIR3680-1	16:21517319-21517536
SCAND1	20:34541545-34545811
MIR3680-2	16:29607498-29610626
HCFC1	X:153210008-153239634
PSAT1	9:80909058-80944157
TFCP2	12:51489763-51569925
PASD1	X:150729092-150844640
CTD-3203P2.2	16:27278660-27301703
SLFN5	17:33567085-33592978
RBM15B	3:51426828-51431550
SPINT2	19:38752097-38782684
PXK	3:58315616-58412622
SPINT1	15:41133245-41149207
SPINT4	20:44347988-44356073
MMADHC	2:150426432-150447329
KHK	2:27315147-27320463
OOEP	6:74078426-74107543
MSRB1	16:1988894-1993972
RP11-475O6.1	1:84083537-84290186
MSRB3	12:65669766-65857131
HELZ2	20:62190539-62208591
NXN	17:704133-885997
RP11-545I10.2	1:170555760-170556061
FANCD2OS	3:10123003-10146552
EPSTI1	13:43457522-43566370
PROB1	5:138728603-138732860
PPIP5K1	15:43826810-43885372
OFCC1	6:9897018-9977877
C9orf3	9:97505797-97852440
C9orf9	9:135754284-135765442
OTX1	2:63274936-63287415
OTX2	14:57265285-57280183
ZFC3H1	12:72004146-72060637
YEATS4	12:69750531-69784157
STAG2	X:123091474-123477191
STAG3	7:99778122-99811499
STAG1	3:136057068-136474219
AC008703.1	5:158877000-158887154
ASMTL	X:1522055-1574869
IGHV6-1	14:106405548-106406182
SHISA8	22:42306390-42313569
OBFC1	10:105642370-105680962
CTD-2008L17.2	18:53759138-53815974
HMGA2	12:66215239-66357185
HMGA1	6:34201649-34211154
USPL1	13:31191919-31233534
RP11-69H7.2	15:75516794-75518342
HAX1	1:154243329-154248233
PDHA1	X:19359010-19381036
RP11-285M22.1	17:22191974-22192113
AL022344.5	10:43189847-43203462
CTC-419K13.1	5:73729340-73798690
LCA5L	21:40777816-40814411
C6orf222	6:36285075-36303106
C6orf223	6:43968266-43975215
C6orf226	6:42858156-42858540
RP11-73M18.2	14:104029365-104092537
PLS1	3:142339265-142430908
PLS3	X:114819161-114883975
CLASP2	3:33540077-33762704
CLASP1	2:122098379-122410051
RP11-125B21.2	9:2465085-2618831
C1orf204	1:159802597-159828136
RP11-361L15.4	16:66982388-66992137
C5orf58	5:169659886-169673207
C5orf56	5:131747458-131811733
C5orf54	5:159820677-159822544
C5orf52	5:157097653-157107103
C5orf51	5:41904391-41918933
C5orf50	5:171212797-171222821
SSPN	12:26309145-26405977
SSPO	7:149473568-149531003
NELFB	9:140146623-140169198
NELFA	4:1984945-2013961
OR10T2	1:158368230-158372255
NELFE	6:31922825-31923854
CD226	18:67531462-67627231
AP001032.1	18:5664604-5664870
RP11-283G6.5	12:26427495-26427852
RP11-283G6.4	12:26427853-26451797
IRX5	16:54962110-54967833
IRX4	5:1876783-1885879
IRX6	16:55355470-55365163
IRX1	5:3593167-3601226
IRX3	16:54317483-54323674
IRX2	5:2747637-2755602
RP11-431K24.3	1:8272042-8272389
RP11-431K24.1	1:8089368-8181246
CLEC2L	7:139205673-139229140
CLEC2A	12:10048270-10087979
CNPPD1	2:220036617-220042827
CLEC2B	12:10005829-10025457
CLEC2D	12:9819307-9849485
CKMT2	5:80526138-80564842
RAD54L2	3:51572594-51702682
C10orf25	10:45493272-45496335
CTB-129P6.11	19:45453375-45459596
HACL1	3:15599209-15643093
APOA4	11:116691556-116697010
APOA5	11:116660081-116666135
IQSEC3	12:173048-289882
IQSEC2	X:53260881-53353521
VPREB1	22:22596199-22600197
APOA1	11:116703465-116711337
APOA2	1:161192149-161193417
GPRASP1	X:101903293-101914935
RP11-459E5.1	8:22558444-22562985
XPO5	6:43491539-43543885
XPO4	13:21357787-21479912
XPO7	8:21774181-21862677
XPO6	16:28108716-28226189
RP11-382F24.2	X:55307771-55315183
RP11-167P23.2	X:55682751-55683429
XPOT	12:64795152-64844906
MMS22L	6:97594659-97734051
ARHGAP23P1	16:33736435-33741473
RP1-240K6.3	14:73931868-73934541
RP11-166A12.1	5:122011761-122037878
GIT1	17:27901719-27919566
GIT2	12:110370748-110437095
DCST2	1:154991061-155006298
DCST1	1:155006299-155026051
GHRH	20:35879471-35888310
SESN1	6:109308673-109381225
SESN2	1:28583036-28607438
SESN3	11:94906362-94967245
RP11-323I15.5	15:35413843-35414135
RP11-799O21.2	10:6959195-6959382
RP11-297M9.1	16:9758501-9761349
VARS	6:31745293-31765170
CTB-171A8.1	19:45195367-45224918
SPARC	5:151043096-151069516
DBNDD2	20:44033628-44041714
DBNDD1	16:90072648-90079528
SUZ12P	17:29061870-29099653
NFRKB	11:129732110-129765903
RSL1D1	16:11931559-11948441
MIR3937	X:39520380-39520681
NPC1L1	7:44549905-44583913
CES5AP1	22:23712537-23725831
RP11-574O7.1	8:106172585-106172813
OR6B1	7:143698089-143702121
OR6B2	2:240968815-240972845
OR6B3	2:240981492-240988488
NFX1	9:33287507-33370049
RP11-422J8.1	1:37932555-37937150
OPN1SW	7:128412543-128418843
OPHN1	X:67266917-67656298
MSL1	17:38275789-38293573
LINC00273	16:33959211-33959310
LINC00271	6:135859215-135945950
SLIT3	5:168093372-168731132
LINC00277	15:69376018-69385764
SLIT1	10:98760850-98948676
RNU6-756P	8:125273753-125275220
LINC00278	Y:2871661-2874439
SEL1L3	4:25750021-25867580
NOLC1	10:103916715-103922090
CTD-2014B16.3	14:66424413-66456680
MYRIP	3:39848302-40299694
RP11-795H16.3	18:57816902-57817385
RP11-321L2.1	9:23850836-23851255
RP11-288L9.1	1:27985481-27986383
AC068489.1	2:222503215-222503314
QTRTD1	3:113772627-113804805
CTD-2515C13.2	18:26915237-26915444
HDAC2	6:114262149-114295358
ANKRD30A	10:37411784-37627835
ANKRD30B	18:14745238-14852504
RP11-125O18.1	4:128059788-128084287
DPY30	2:32248396-32267843
TBL2	7:72984940-72996012
TBL3	16:2019036-2032933
PDE8A	15:85522204-85681250
PDE8B	5:76503705-76722473
DBI	2:120122251-120129989
DBH	9:136498484-136523623
MANBA	4:103553135-103685150
RP11-400D2.3	4:135375625-135375808
OR7E14P	11:17073867-17074487
RGS9	17:63130564-63223578
DBP	19:49130886-49141196
TAF5L	1:229730060-229750264
DBT	1:100661775-100718389
MIR940	16:2321674-2321961
ASTE1	3:130732818-130745692
MED1	17:37557536-37610526
MED6	14:71050778-71070383
MED7	5:156565701-156572920
MED4	13:48636254-48672239
MED8	1:43850042-43858454
MED9	17:17377299-17394891
MNX1	7:156786741-156806344
RN7SK	6:52862968-52863074
TDRP	8:441461-498330
CCDC90B	11:82976822-83000376
TCF4	18:52895372-53306184
TCF7	5:133447401-133482230
TCF3	19:1608480-1654455
RP11-315O6.2	11:102369179-102369515
AFP	4:74298932-74321482
STK32C	10:134022492-134142611
STK32B	4:5050526-5500870
STK32A	5:146611578-146764092
PPP5C	19:46847250-46893663
RPL17-C18orf32	18:47008641-47020953
ISLR2	15:74389650-74427411
MDN1	6:90351472-90532441
AMPD3	11:10469223-10526292
AMPD2	1:110160053-110175536
AMPD1	1:115215706-115241238
OR2L13	1:248101057-248263674
RP11-398M15.1	1:189756313-189756641
AREG	4:75307852-75320700
RNU6-1199P	1:691273-691409
MRGPRX4	11:18194383-18195826
MRGPRX1	11:18952863-18959548
MRGPRX3	11:18139501-18159778
MRGPRX2	11:19076875-19085227
UTP18	17:49337892-49374402
RP1-212G6.7	X:47521560-47521578
TET1	10:70317411-70451656
TET3	2:74270449-74329080
TET2	4:106064597-106197762
TMEM52B	12:10327737-10342766
RP11-286B14.2	1:96208081-96208327
AC007040.8	2:71228333-71292428
PCBD2	5:134237809-134304593
PRDX6	1:173443485-173457076
PRDX5	11:64082558-64089258
PCBD1	10:72643677-72651540
PRDX3	10:120927220-120941344
PRDX2	19:12907814-12915600
PRDX1	1:45980149-45990627
RP6-42F4.1	1:120692454-120692807
